| SC-X-004 | Not started | - | - | - |
| SC-X-005 | Not started | - | - | - |
| SC-X-006 | Not started | - | - | - |
| SC-X-007 | Not started | - | - | - |
| SC-X-008 | Not started | - | - | - |
| SC-X-009 | Not started | - | - | - |
| SC-X-010 | Not started | - | - | - |
| SC-X-011 | Not started | - | - | - |
| SC-X-012 | Not started | - | - | - |
| SC-X-013 | Not started | - | - | - |
| SC-X-014 | Not started | - | - | - |
| SC-X-015 | Not started | - | - | - |
| SC-X-016 | Not started | - | - | - |
| SC-X-017 | Not started | - | - | - |
| SC-X-018 | Not started | - | - | - |
| SC-X-019 | Not started | - | - | - |
| SC-X-020 | Not started | - | - | - |
| SC-X-021 | Not started | - | - | - |
| SC-X-022 | Not started | - | - | - |
| SC-X-023 | Not started | - | - | - |
| SC-X-024 | Not started | - | - | - |
| SC-X-025 | Not started | - | - | - |
| SC-X-026 | Not started | - | - | - |
| SC-X-027 | Not started | - | - | - |
| SC-X-028 | Not started | - | - | - |
| SC-X-029 | Not started | - | - | - |
| SC-X-030 | Not started | - | - | - |
| SC-X-031 | Not started | - | - | - |
| SC-X-032 | Not started | - | - | - |
